"year","NOM_ENT","POB","TotalPerros","TotalGatos","RAVd","RAVg","ProyeccionPerros","ProyeccionGatos","pm1a","gm1a","MFd","MFc","pControl","SIR_agresiones"
2018,"Campeche",621328,178096,27018,175352,24271,322608.3788,55539.7842,0.3711,0.6221,0.5046,0.4263,7e-04,0.6462
2018,"Coahuila",1992735,364049,22373,351887,19764,1110613.1491,113453.4725,0.2697,0.3185,0.3736,0.4732,0.01,1.3971
2018,"Colima",496085,78264,12494,77610,12125,225776.3643,47246.8213,0.1979,0.3875,0.1987,0.202,0.0012,0.8165
2018,"Chiapas",3201316,399894,57833,399096,57474,1500505.1311,251330.8903,0.1982,0.0306,0.4733,0.436,1e-04,0.527
2018,"Chihuahua",2397021,392772,32863,372095,25634,1204247.8901,113412.8678,0.4972,0.5392,0.4056,0.564,0.0207,0.7343
2018,"Ciudad de MExico",6669505,1051316,238278,1013537,206500,2063714.9725,329322.7635,0.3286,0.5323,0.4993,0.5623,0.0067,1.6787
2018,"Durango",1143753,232448,27627,219948,25469,562893.7794,94876.3971,0.3845,0.6284,0.3741,0.3462,0.0362,2.9733
2018,"Guanajuato",3834581,1004125,90254,924829,75263,2235716.3749,282779.6466,0.3184,0.5463,0.4156,0.4992,0.0412,0.8046
2018,"Guerrero",2201609,481612,67331,478541,66016,1114127.1031,236802.8593,0.2466,0.3574,0.4127,0.6275,0.0022,1.0383
2018,"Hidalgo",1927382,775037,107815,728058,96836,1064900.5388,216248.9025,0.3115,0.4898,0.3305,0.4365,0.0243,1.7836
2018,"Jalisco",5280893,704062,116857,664901,99673,2451299.6133,466722.7138,0.3913,0.6709,0.4217,0.4841,0.0216,0.7048
2018,"MExico",11264640,3010259,462925,2917595,427035,6257151.1012,897742.5659,0.3248,0.5563,0.3582,0.4579,0.0106,1.5031
2018,"Michoac·n",2968283,683516,125869,664593,125178,1502787.6735,407514.3329,0.194,0.3546,0.5214,0.4924,0.0256,0.8192
2018,"Morelos",1321494,190632,29382,186559,27214,675720.2179,150798.4966,0.3626,0.619,0.3102,0.3474,0.0021,1.1655
2018,"Nayarit",790355,51942,7315,50641,6883,387866.9675,100234.2201,0.3681,0.6551,0.5265,0.7008,0.0101,0.703
2018,"Nuevo LeUn",3608277,571329,85632,523914,72388,1628898.43,218723.0207,0.3327,0.5196,0.5237,0.5286,0.0535,0.8968
2018,"OAXACA",2563532,280740,33121,275300,31767,1329970.5995,291817.1717,0.2678,0.3242,0.4107,0.2945,0.0027,0.2685
2018,"Puebla",4039672,1346821,256784,1295955,233191,2223727.3336,465729.8612,0.4353,0.586,0.3153,0.4344,0.0017,1.2938
2018,"QuerEtaro",1409856,259208,22285,245455,20548,754281.5646,131667.609,0.0971,0.0961,0.4816,0.4683,0.0399,0.6636
2018,"Quintana Roo",1059993,135730,15571,134428,15135,484507.3357,86854.7297,0.3175,0.383,0.3623,0.3252,6e-04,1.1904
2018,"San Luis PotosI",1800140,519814,87674,503640,81084,948659.5095,165668.3534,0.3109,0.4964,0.4472,0.5872,0.0042,1.5931
2018,"Sinaloa",2026696,225899,88099,218710,83629,905216.7526,202946.4882,0.3323,0.4718,0.4759,0.5319,0.0022,0.3567
2018,"Sonora",1952294,356542,53192,333183,48196,997800.9289,172889.7757,0.3786,0.4758,0.5448,0.5344,0.0293,1.2278
2018,"Tabasco",1598963,207347,37295,204392,36721,666768.2216,85023.4079,0.2069,0.4373,0.3139,0.543,0.0064,0.1995
2018,"Tamaulipas",2330045,336806,26152,321260,22939,1138469.1781,154591.2978,0.3583,0.3996,0.4775,0.6435,0.0295,1.2539
2018,"Tlaxcala",855518,337088,59285,300767,49786,477940.3105,90174.1132,0.397,0.5903,0.1929,0.3261,0.0573,0.9721
2018,"Veracruz",5536297,1245250,204664,1236916,199013,2601835.616,594500.5374,0.3113,0.4111,0.2428,0.3108,6e-04,0.6917
2018,"Yucat·n",1467729,256341,46985,253041,45629,824792.279,192082.3487,0.2723,0.4063,0.4459,0.7014,0.0041,1.3873
2018,"Zacatecas",1019884,275672,37900,267858,36647,509040.6212,96967.3002,0.198,0.249,0.1871,0.3316,0.01,0.4229
2019,"Aguascalientes",892796,231543,28071,219119,24569,408017.6023,54052.9227,0.4166,0.7861,0.5955,0.5387,0.0318,0.4738
2019,"Baja California",2359801,304764,28358,277867,19202,1130118.4796,130100.8324,0.3785,0.5839,0.4736,0.5464,0.0417,0.3529
2019,"Baja California Sur",517650,99893,23509,94518,20301,246991.757,28017.1313,0.3555,0.6079,0.3983,0.5204,0.008,0.6071
2019,"Campeche",635889,171791,34362,166719,30819,330168.7988,56841.375,0.3477,0.5989,0.3329,0.4497,3e-04,0.7065
2019,"Coahuila",2030797,420909,24740,405058,21891,1131826.2847,115620.4771,0.2926,0.3528,0.1722,0.831,0.0078,1.3362
2019,"Colima",507021,115513,19147,113129,17245,230753.516,48288.359,0.2891,0.5615,0.3542,0.4431,0.0021,0.8272
2019,"Chiapas",3270757,47769,7092,46487,6263,1533053.176,256782.6071,0.4227,0.3884,0.4105,0.5211,3e-04,0.5009
2019,"Chihuahua",2439413,382514,33291,367911,29420,1225545.3575,115418.6067,0.3602,0.5743,0.5434,0.4877,0.0175,0.4893
2019,"Ciudad de MExico",6707484,1008103,243947,972596,208365,2075466.6438,331198.0675,0.3357,0.5516,0.497,0.5616,0.0045,1.5107
2019,"Durango",1162879,197147,21787,189116,19637,572306.569,96462.9336,0.3836,0.5772,0.3031,0.3988,0.023,2.798
2019,"Guanajuato",3897794,995464,92898,916583,74965,2272572.1198,287441.2641,0.3712,0.5586,0.4318,0.4919,0.0382,0.7652
2019,"Guerrero",2227362,353302,60732,350036,59696,1127159.4423,239572.8262,0.2567,0.4286,0.4377,0.6213,0.0044,1.3519
2019,"Hidalgo",1962615,761052,119341,717114,106775,1084367.1731,220201.9837,0.3085,0.4799,0.3473,0.4399,0.0213,1.6968
2019,"Jalisco",5374790,789509,152154,760600,135492,2494884.9841,475021.2843,0.3921,0.6874,0.3985,0.4635,0.0079,0.7308
2019,"MExico",11472015,2997043,515835,2868158,457453,6372341.3523,914269.4469,0.3037,0.5329,0.3287,0.4423,0.0101,1.4269
2019,"Michoac·n",3005994,563215,110270,545203,107842,1521880.0666,412691.6603,0.3036,0.5157,0.4078,0.4367,0.0242,0.8145
2019,"Morelos",1343652,280851,47656,275923,45017,687050.2797,153326.9932,0.3476,0.5074,0.2774,0.3261,0.0022,0.9827
2019,"Nayarit",806577,60464,10169,59171,9624,395827.9191,102291.5228,0.4964,0.6789,0.7708,0.8537,0.0098,1.0874
2019,"Nuevo LeUn",3683498,551818,92144,515401,79489,1662855.7368,223282.694,0.3164,0.531,0.5494,0.5429,0.0378,0.8742
2019,"OAXACA",2595312,262123,26308,258521,25424,1346458.19,295434.8171,0.2851,0.2975,0.3854,0.4076,0,0.3757
2019,"Puebla",4110264,1076619,230102,1021032,206639,2262586.2706,473868.3443,0.4375,0.63,0.2724,0.3871,0.003,1.2905
2019,"QuerEtaro",1447762,285638,28360,268071,25452,774561.5059,135207.6814,0.1127,0.1895,0.6507,0.7518,0.04,0.8154
2019,"Quintana Roo",1093482,140898,17604,138151,16222,499814.669,89598.7837,0.2678,0.547,0.6611,0.6591,6e-04,0.8928
2019,"San Luis PotosI",1826665,523045,81645,510417,75990,962637.9743,168109.4708,0.3049,0.5057,0.4031,0.53,0.0031,1.5045
2019,"Sinaloa",2059272,240096,95484,217905,86021,919766.7102,206208.5388,0.3443,0.4237,0.4745,0.5389,0.0359,0.3981
2019,"Sonora",1991568,335860,47945,308186,40649,1017873.5377,176367.7729,0.372,0.4912,0.5129,0.5497,0.0336,1.1172
2019,"Tabasco",1627222,272050,40406,267394,38999,678552.2361,86526.0546,0.1802,0.4229,0.2982,0.5097,0.0063,0.3202
2019,"Tamaulipas",2363353,334050,39131,316199,35631,1154743.5982,156801.1809,0.3786,0.4034,0.5586,0.6722,0.0355,1.2215
2019,"Tlaxcala",872316,335362,62318,298297,51792,487324.6149,91944.6718,0.395,0.601,0.2195,0.3409,0.0607,0.915
2019,"Veracruz",5603967,1348070,205735,1339004,199880,2633637.7783,601767.1005,0.2713,0.4082,0.2122,0.3211,5e-04,0.6855
2019,"Yucat·n",1495819,249518,47100,247950,46597,840577.4921,195758.4995,0.069,0.1054,0.2013,0.3307,5e-04,1.1311
2019,"Zacatecas",1032838,277470,40509,269922,39010,515506.1724,98198.925,0.1587,0.2388,0.2121,0.3219,0.0069,0.5715
2020,"Aguascalientes",913173,229103,30666,216418,28115,417330.1156,55286.616,0.3873,0.7193,0.5739,0.6739,0.0411,0.2447
2020,"Baja California",2414741,213802,23686,194417,17332,1156429.4733,133129.7911,0.3476,0.5403,0.5408,0.6013,0.0363,0.1816
2020,"Baja California Sur",531689,98523,26264,94695,23685,253690.3318,28776.9738,0.3386,0.6188,0.4168,0.4771,0.0039,0.3731
